Time,Reference,Angle,Reference,Angle
5.103141,-15.9190382,-15.9174028,-164.202211,-164.200576
5.109847,-15.9199847,-15.9174028,-164.203158,-164.200576
5.119989,-15.9221377,-15.9174028,-164.205311,-164.200576
5.130076,-15.9248882,-15.9261294,-164.208061,-164.200576
5.140319,-15.9283167,-15.9261294,-164.21149,-164.200576
5.150439,-15.9323131,-15.9261294,-164.215486,-164.200576
5.16059,-15.9369429,-15.9174028,-164.220116,-164.200576
5.170695,-15.942162,-15.9174028,-164.225335,-164.200576
5.180833,-15.9480186,-15.9174028,-164.231192,-164.200576
5.191365,-15.9547767,-15.9174028,-164.23795,-164.200576
5.201558,-15.9619324,-15.9174028,-164.245106,-164.200576
5.211358,-15.9693753,-15.9174028,-164.252549,-164.200576
5.221521,-15.9777219,-15.9174028,-164.260895,-164.200576
5.231855,-15.9868643,-15.9174028,-164.270038,-164.200576
5.241712,-15.9961432,-15.9174028,-164.279316,-164.200576
5.251914,-16.0063847,-15.9174028,-164.289558,-164.200576
5.262004,-16.0171244,-15.9174028,-164.300298,-164.200576
5.272125,-16.0285092,-15.9174028,-164.311682,-164.200576
5.28229,-16.0405722,-15.9174028,-164.323745,-164.200576
5.292429,-16.0532128,-15.9174028,-164.336386,-164.200576
5.302739,-16.0667206,-15.9174028,-164.349894,-164.200576
5.312793,-16.0804768,-15.9174028,-164.36365,-164.200576
5.322886,-16.0949117,-15.9174028,-164.378085,-164.200576
5.333033,-16.110028,-15.9174028,-164.393201,-164.200576
5.343177,-16.1257678,-15.9174028,-164.408941,-164.200576
5.353295,-16.1420758,-15.9174028,-164.425249,-164.200576
5.363431,-16.1590401,-15.9261294,-164.442213,-164.200576
5.373628,-16.1767236,-15.9261294,-164.459897,-164.200576
5.383723,-16.1948384,-15.9261294,-164.478012,-164.209303
5.393871,-16.2136716,-15.9261294,-164.496845,-164.209303
5.404191,-16.2334705,-15.9261294,-164.516644,-164.218029
5.41424,-16.2533433,-15.9261294,-164.536517,-164.218029
5.424336,-16.2739158,-15.9348561,-164.557089,-164.226756
5.434487,-16.2952308,-15.9435827,-164.578404,-164.235483
5.444669,-16.3172252,-15.9523094,-164.600398,-164.244209
5.454869,-16.3398922,-15.961036,-164.623065,-164.252936
5.464985,-16.3629725,-15.9697627,-164.646146,-164.261663
5.475142,-16.3867808,-15.9872159,-164.669954,-164.279116
5.485375,-16.4113907,-15.9959426,-164.694564,-164.287842
5.495455,-16.4362248,-16.0133959,-164.719398,-164.305296
5.506016,-16.4629652,-16.0308492,-164.746138,-164.322749
5.515973,-16.4887152,-16.0483025,-164.771888,-164.340202
5.526056,-16.5154208,-16.0744824,-164.798594,-164.357656
