Time,Reference,Angle,Reference,Angle
13.79958,-321.324992,-321.384928,-470.768809,-470.802566
13.80417,-321.336387,-321.402382,-470.780204,-470.811292
13.81428,-321.360781,-321.419835,-470.804598,-470.837472
13.82442,-321.384642,-321.446015,-470.828459,-470.863652
13.83463,-321.408065,-321.472195,-470.851882,-470.881106
13.84476,-321.430705,-321.489648,-470.874522,-470.898559
13.85524,-321.453803,-321.507102,-470.89762,-470.916012
13.86515,-321.474455,-321.524555,-470.918272,-470.942192
13.87523,-321.495211,-321.550735,-470.939028,-470.950919
13.88544,-321.515618,-321.559461,-470.959435,-470.968372
13.89555,-321.535239,-321.576915,-470.979057,-470.977099
13.9057,-321.554348,-321.594368,-470.998165,-470.994552
13.91596,-321.573038,-321.603095,-471.016855,-471.012005
13.92603,-321.590827,-321.620548,-471.034644,-471.012005
13.93618,-321.608162,-321.629275,-471.051979,-471.029459
13.9463,-321.624848,-321.638001,-471.068665,-471.038185
13.95648,-321.64106,-321.646728,-471.084877,-471.046912
13.96663,-321.656618,-321.655454,-471.100435,-471.055638
13.97677,-321.671588,-321.664181,-471.115405,-471.064365
13.98696,-321.686039,-321.664181,-471.129857,-471.073092
13.99706,-321.699797,-321.664181,-471.143614,-471.081818
14.00723,-321.713064,-321.672908,-471.156881,-471.081818
14.01736,-321.725707,-321.672908,-471.169524,-471.081818
14.02756,-321.737849,-321.681634,-471.181666,-471.090545
14.03769,-321.749344,-321.681634,-471.193161,-471.099272
14.04782,-321.760274,-321.681634,-471.204091,-471.099272
14.05797,-321.770662,-321.690361,-471.214479,-471.107998
14.06815,-321.780518,-321.690361,-471.224335,-471.107998
14.07829,-321.789777,-321.690361,-471.233594,-471.116725
14.08842,-321.798473,-321.690361,-471.24229,-471.116725
14.09859,-321.806646,-321.690361,-471.250463,-471.116725
14.1087,-321.814234,-321.690361,-471.258051,-471.125452
14.11884,-321.821306,-321.699088,-471.265124,-471.125452
14.12944,-321.82811,-321.699088,-471.271927,-471.134178
14.13913,-321.833866,-321.699088,-471.277684,-471.134178
14.14931,-321.839379,-321.707814,-471.283196,-471.134178
14.15941,-321.844347,-321.716541,-471.288165,-471.134178
14.16953,-321.848828,-321.716541,-471.292646,-471.134178
14.18075,-321.853169,-321.725268,-471.296986,-471.134178
14.19055,-321.856556,-321.733994,-471.300374,-471.134178
14.20065,-321.859592,-321.733994,-471.303409,-471.142905
14.21085,-321.862211,-321.742721,-471.306028,-471.142905
14.22094,-321.864395,-321.751448,-471.308213,-471.151632
14.23116,-321.866214,-321.751448,-471.310031,-471.151632
14.24122,-321.871654,-321.760174,-471.315472,-471.151632
14.26248,-321.871654,-321.760174,-471.315472,-471.151632
14.26706,-321.871654,-321.768901,-471.315472,-471.151632
14.27724,-321.871654,-321.768901,-471.315472,-471.151632
14.28773,-321.871654,-321.768901,-471.315472,-471.151632
14.29754,-321.871654,-321.768901,-471.315472,-471.151632
14.30769,-321.871654,-321.768901,-471.315472,-471.151632
14.31784,-321.871654,-321.768901,-471.315472,-471.151632
14.32826,-321.871654,-321.768901,-471.315472,-471.151632
14.33813,-321.871654,-321.768901,-471.315472,-471.151632
14.34843,-321.871654,-321.768901,-471.315472,-471.151632
14.35842,-321.871654,-321.768901,-471.315472,-471.151632
14.36855,-321.871654,-321.768901,-471.315472,-471.151632
14.37869,-321.871654,-321.768901,-471.315472,-471.151632
14.38893,-321.871654,-321.768901,-471.315472,-471.151632
14.39902,-321.871654,-321.768901,-471.315472,-471.151632
14.40914,-321.871654,-321.768901,-471.315472,-471.151632
14.41929,-321.871654,-321.768901,-471.315472,-471.151632
14.42952,-321.871654,-321.768901,-471.315472,-471.151632
14.43964,-321.871654,-321.768901,-471.315472,-471.151632
14.44975,-321.871654,-321.768901,-471.315472,-471.151632
14.45997,-321.871654,-321.768901,-471.315472,-471.151632
14.47005,-321.871654,-321.768901,-471.315472,-471.151632
14.48022,-321.871654,-321.768901,-471.315472,-471.151632
14.49075,-321.871654,-321.768901,-471.315472,-471.151632
14.50054,-321.871654,-321.768901,-471.315472,-471.151632
14.51059,-321.871654,-321.768901,-471.315472,-471.151632
14.52074,-321.871654,-321.768901,-471.315472,-471.151632
14.5309,-321.871654,-321.768901,-471.315472,-471.151632
14.54107,-321.871654,-321.768901,-471.315472,-471.151632
14.55118,-321.871654,-321.768901,-471.315472,-471.151632
14.56133,-321.871654,-321.768901,-471.315472,-471.151632
14.57148,-321.871654,-321.768901,-471.315472,-471.151632
14.58952,-321.871654,-321.768901,-471.315472,-471.151632
14.59408,-321.871654,-321.768901,-471.315472,-471.151632
14.60429,-321.871654,-321.768901,-471.315472,-471.151632
14.61441,-321.871654,-321.768901,-471.315472,-471.151632
14.62455,-321.871654,-321.768901,-471.315472,-471.151632
14.63479,-321.871654,-321.768901,-471.315472,-471.151632
14.64486,-321.871654,-321.768901,-471.315472,-471.151632
14.65505,-321.871654,-321.768901,-471.315472,-471.151632
14.66519,-321.871654,-321.768901,-471.315472,-471.151632
14.67536,-321.871654,-321.768901,-471.315472,-471.151632
14.68559,-321.871654,-321.768901,-471.315472,-471.151632
14.69566,-321.871654,-321.768901,-471.315472,-471.151632
14.70588,-321.871654,-321.768901,-471.315472,-471.151632
14.71609,-321.871654,-321.768901,-471.315472,-471.151632
14.72617,-321.871654,-321.768901,-471.315472,-471.151632
14.73634,-321.871654,-321.768901,-471.315472,-471.151632
14.74644,-321.871654,-321.768901,-471.315472,-471.151632
14.75664,-321.871654,-321.768901,-471.315472,-471.151632
14.76677,-321.871654,-321.768901,-471.315472,-471.151632
14.77692,-321.871654,-321.768901,-471.315472,-471.151632
14.78707,-321.871654,-321.768901,-471.315472,-471.151632
14.79726,-321.871654,-321.768901,-471.315472,-471.151632
14.80738,-321.871654,-321.768901,-471.315472,-471.151632
14.81757,-321.871654,-321.768901,-471.315472,-471.151632
14.82772,-321.871654,-321.768901,-471.315472,-471.151632
14.83789,-321.871654,-321.768901,-471.315472,-471.151632
14.84802,-321.871654,-321.768901,-471.315472,-471.151632
14.85989,-321.871654,-321.768901,-471.315472,-471.151632
14.86833,-321.871654,-321.768901,-471.315472,-471.151632
14.87845,-321.871654,-321.768901,-471.315472,-471.151632
14.88858,-321.871654,-321.768901,-471.315472,-471.151632
14.89881,-321.871654,-321.768901,-471.315472,-471.151632
14.90928,-321.871654,-321.768901,-471.315472,-471.151632
14.91906,-321.871654,-321.768901,-471.315472,-471.151632
14.92918,-321.871654,-321.768901,-471.315472,-471.151632
14.93936,-321.871654,-321.768901,-471.315472,-471.151632
14.94954,-321.871654,-321.768901,-471.315472,-471.151632
14.95968,-321.871654,-321.768901,-471.315472,-471.151632
14.96981,-321.871654,-321.768901,-471.315472,-471.151632
14.98003,-321.871654,-321.768901,-471.315472,-471.151632
14.99015,-321.871654,-321.768901,-471.315472,-471.151632
15.00028,-321.871654,-321.768901,-471.315472,-471.151632
15.01078,-321.871654,-321.768901,-471.315472,-471.151632
15.02058,-321.871654,-321.768901,-471.315472,-471.151632
15.03068,-321.871654,-321.768901,-471.315472,-471.151632
15.04083,-321.871654,-321.768901,-471.315472,-471.151632
15.05108,-321.871654,-321.768901,-471.315472,-471.151632
15.06128,-321.871654,-321.768901,-471.315472,-471.151632
15.0714,-321.871654,-321.768901,-471.315472,-471.151632
15.08157,-321.871654,-321.768901,-471.315472,-471.151632
15.09174,-321.871654,-321.768901,-471.315472,-471.151632
15.1018,-321.871654,-321.768901,-471.315472,-471.151632
15.11223,-321.871654,-321.768901,-471.315472,-471.151632
15.12239,-321.871654,-321.768901,-471.315472,-471.151632
15.1326,-321.871654,-321.768901,-471.315472,-471.151632
15.14271,-321.871654,-321.768901,-471.315472,-471.151632
15.15285,-321.871654,-321.768901,-471.315472,-471.151632
15.16299,-321.871654,-321.768901,-471.315472,-471.151632
15.17316,-321.871654,-321.768901,-471.315472,-471.151632
15.18333,-321.871654,-321.768901,-471.315472,-471.151632
15.19346,-321.871654,-321.768901,-471.315472,-471.151632
15.20357,-321.871654,-321.768901,-471.315472,-471.151632
15.21371,-321.871654,-321.768901,-471.315472,-471.151632
15.22391,-321.871654,-321.768901,-471.315472,-471.151632
15.23408,-321.871654,-321.768901,-471.315472,-471.151632
15.24422,-321.871654,-321.768901,-471.315472,-471.151632
15.25455,-321.871654,-321.768901,-471.315472,-471.151632
15.26452,-321.871654,-321.768901,-471.315472,-471.151632
15.27472,-321.871654,-321.768901,-471.315472,-471.151632
15.28483,-321.871654,-321.768901,-471.315472,-471.151632
15.29498,-321.871654,-321.768901,-471.315472,-471.151632
15.30514,-321.871654,-321.768901,-471.315472,-471.151632
15.31529,-321.871654,-321.768901,-471.315472,-471.151632
15.33398,-321.871654,-321.768901,-471.315472,-471.151632
15.33858,-321.871654,-321.768901,-471.315472,-471.151632
15.34885,-321.871654,-321.768901,-471.315472,-471.151632
15.35886,-321.871654,-321.768901,-471.315472,-471.151632
15.36901,-321.871654,-321.768901,-471.315472,-471.151632
15.37941,-321.871654,-321.768901,-471.315472,-471.151632
15.3893,-321.871654,-321.768901,-471.315472,-471.151632
15.39942,-321.871654,-321.768901,-471.315472,-471.151632
15.4096,-321.871654,-321.768901,-471.315472,-471.151632
15.41971,-321.871654,-321.768901,-471.315472,-471.151632
15.42985,-321.871654,-321.768901,-471.315472,-471.151632
15.44005,-321.871654,-321.768901,-471.315472,-471.151632
15.45798,-321.871654,-321.768901,-471.315472,-471.151632
15.46254,-321.871654,-321.768901,-471.315472,-471.151632
