Time,Reference,Angle,Reference,Angle
2.536627,,,,
2.541217,,,,
2.55133,,,,
2.561469,,,,
2.571638,,,,
2.581823,,,,
2.591955,,,,
2.602109,,,,
2.61225,,,,
2.623124,,,,
2.632515,,,,
2.642674,,,,
2.652834,,,,
2.663025,,,,
2.673126,,,,
2.683376,,,,
2.693501,,,,
2.703632,,,,
2.713853,,,,
2.723898,,,,
2.73411,,,,
2.744236,,,,
2.754367,,,,
2.764577,,,,
2.774639,,,,
2.784796,,,,
2.795022,,,,
2.805146,,,,
2.815278,,,,
2.825422,,,,
2.835577,,,,
2.845743,,,,
2.855926,,,,
2.866042,,,,
2.876188,,,,
2.88641,,,,
2.89652,,,,
2.906656,,,,
2.916843,,,,
2.926917,,,,
2.937521,,,,
2.947296,,,,
2.957358,,,,
2.967471,,,,
2.977597,,,,
2.987791,,,,
2.997942,,,,
3.008099,,,,
3.018225,,,,
3.028416,,,,
3.03853,,,,
3.049071,,,,
3.058803,,,,
3.06894,,,,
3.079082,,,,
3.089169,,,,
3.099572,,,,
3.109549,,,,
3.119831,,,,
3.129929,,,,
3.139981,,,,
3.150483,,,,
3.160532,,,,
3.170671,,,,
3.180888,,,,
3.190997,,,,
3.201179,,,,
3.211415,,,,
3.221498,,,,
3.231646,,,,
3.241827,,,,
3.251916,,,,
3.262126,,,,
3.272261,,,,
3.282394,,,,
3.292582,,,,
3.302662,,,,
3.312877,,,,
3.322998,,,,
3.333137,,,,
3.352834,,,,
3.357559,,,,
3.36734,,,,
3.377465,,,,
3.387668,,,,
3.397748,,,,
3.407919,,,,
3.418455,,,,
3.428203,,,,
3.438416,,,,
3.448525,,,,
3.459197,,,,
3.468911,,,,
3.478984,,,,
3.489103,,,,
3.49933,,,,
3.50944,,,,
3.519557,,,,
3.529746,,,,
3.547747,,,,
3.552052,,,,
3.562202,,,,
3.572344,,,,
3.582521,,,,
3.592705,,,,
3.602836,,,,
3.612942,,,,
3.623996,,,,
3.633263,,,,
3.643406,,,,
3.653501,,,,
3.663649,,,,
3.682119,-178.881867,-178.878795,-178.829507,-178.826435
3.686703,-178.882563,-178.878795,-178.830203,-178.826435
3.696836,-178.884889,-178.878795,-178.832529,-178.826435
3.707061,-178.887867,-178.878795,-178.835507,-178.826435
3.717541,-178.891584,-178.878795,-178.839224,-178.826435
3.727281,-178.895587,-178.878795,-178.843227,-178.826435
3.737454,-178.900404,-178.878795,-178.848044,-178.826435
3.747602,-178.905824,-178.878795,-178.853464,-178.826435
3.757721,-178.91184,-178.878795,-178.85948,-178.826435
3.767857,-178.918487,-178.878795,-178.866127,-178.826435
3.778093,-178.925834,-178.878795,-178.873474,-178.826435
3.78823,-178.933716,-178.878795,-178.881356,-178.826435
3.798422,-178.942272,-178.878795,-178.889912,-178.826435
3.808563,-178.951394,-178.878795,-178.899034,-178.826435
3.818651,-178.961082,-178.878795,-178.908722,-178.826435
3.829118,-178.971805,-178.878795,-178.919445,-178.835162
3.839017,-178.982515,-178.878795,-178.930155,-178.835162
3.849138,-178.994083,-178.878795,-178.941724,-178.835162
3.859373,-179.006417,-178.878795,-178.954057,-178.835162
3.869418,-179.019123,-178.887522,-178.966763,-178.835162
3.879675,-179.032737,-178.887522,-178.980377,-178.835162
3.889897,-179.046926,-178.896248,-178.994566,-178.835162
3.899992,-179.061545,-178.896248,-179.009185,-178.835162
3.910095,-179.076786,-178.896248,-179.024426,-178.835162
3.920214,-179.092668,-178.913702,-179.040308,-178.835162
3.930506,-179.10947,-178.922428,-179.05711,-178.843888
3.941024,-179.12731,-178.931155,-179.07495,-178.843888
3.950823,-179.144475,-178.948608,-179.092115,-178.861342
3.960962,-179.162876,-178.966061,-179.110516,-178.878795
3.97111,-179.1819,-178.983515,-179.12954,-178.896248
3.981528,-179.202117,-179.000968,-179.149757,-178.913702
3.991537,-179.222099,-179.027148,-179.169739,-178.939882
4.001687,-179.242986,-179.053328,-179.190626,-178.966061
4.011854,-179.264529,-179.070781,-179.212169,-178.992241
4.021966,-179.28658,-179.105688,-179.23422,-179.018421
4.041458,-179.33191,-179.158048,-179.27955,-179.088235
4.046292,-179.343083,-179.175501,-179.290723,-179.096961
4.056468,-179.367367,-179.201681,-179.315008,-179.140594
4.066652,-179.392301,-179.236588,-179.339941,-179.175501
4.078238,-179.421545,-179.280221,-179.369185,-179.219134
4.086967,-179.443937,-179.315127,-179.391577,-179.262767
4.097124,-179.470652,-179.350034,-179.418293,-179.297674
4.115156,-179.520477,-179.393667,-179.468117,-179.376214
4.119682,-179.53292,-179.446027,-179.48056,-179.402394
4.129932,-179.561926,-179.48966,-179.509566,-179.4373
4.14045,-179.592348,-179.533294,-179.539988,-179.48966
4.150959,-179.623406,-179.576927,-179.571046,-179.533294
4.16108,-179.653911,-179.629287,-179.601551,-179.576927
4.171264,-179.685233,-179.664193,-179.632873,-179.611833
4.181481,-179.717303,-179.707826,-179.664943,-179.655467
4.191584,-179.749605,-179.75146,-179.697245,-179.6991
4.201778,-179.782831,-179.795093,-179.730471,-179.742733
4.211936,-179.816558,-179.838726,-179.764198,-179.786366
4.222141,-179.851059,-179.873633,-179.7987,-179.821273
4.232307,-179.886059,-179.908539,-179.833699,-179.864906
4.242417,-179.92147,-179.952173,-179.86911,-179.899813
4.252618,-179.957859,-179.987079,-179.905499,-179.943446
4.262768,-179.994629,-180.030712,-179.942269,-179.978352
4.272923,-180.032069,-180.065619,-179.979709,-180.013259
4.283077,-180.070124,-180.100526,-180.017764,-180.048166
4.29324,-180.10881,-180.144159,-180.05645,-180.091799
4.303389,-180.148083,-180.179065,-180.095723,-180.126705
4.313548,-180.187998,-180.213972,-180.135638,-180.161612
4.323749,-180.228708,-180.248878,-180.176348,-180.196519
4.333852,-180.269645,-180.283785,-180.217285,-180.231425
4.345406,-180.317328,-180.318692,-180.264969,-180.266332
4.354176,-180.353874,-180.353598,-180.301514,-180.301238
4.364376,-180.397087,-180.379778,-180.344728,-180.336145
4.37445,-180.440329,-180.414685,-180.387969,-180.371052
4.384704,-180.485189,-180.458318,-180.432829,-180.405958
4.394834,-180.529783,-180.493225,-180.477423,-180.440865
4.404993,-180.575271,-180.528131,-180.522911,-180.475771
4.415175,-180.621485,-180.571764,-180.569125,-180.519405
4.425306,-180.668091,-180.606671,-180.615731,-180.554311
4.435531,-180.715764,-180.641578,-180.663405,-180.597944
4.445642,-180.763497,-180.685211,-180.711137,-180.641578
4.455843,-180.812564,-180.728844,-180.760204,-180.693937
4.466085,-180.861961,-180.772477,-180.809601,-180.737571
4.476168,-180.911387,-180.816111,-180.859027,-180.789931
4.486398,-180.962222,-180.86847,-180.909862,-180.833564
4.496485,-181.012947,-180.912104,-180.960587,-180.885924
4.506684,-181.064838,-180.964463,-181.012478,-180.938284
4.51692,-181.117546,-181.016823,-181.065186,-180.990643
4.52705,-181.170332,-181.069183,-181.117972,-181.043003
4.537132,-181.22347,-181.121543,-181.17111,-181.095363
4.547281,-181.277581,-181.18263,-181.225221,-181.15645
4.557671,-181.333655,-181.23499,-181.281295,-181.217536
4.567611,-181.38788,-181.304803,-181.33552,-181.269896
4.577706,-181.443534,-181.357163,-181.391174,-181.330983
4.587936,-181.500592,-181.418249,-181.448232,-181.392069
4.598076,-181.557734,-181.479336,-181.505374,-181.461882
4.608213,-181.615498,-181.549149,-181.563138,-181.522969
4.618432,-181.674341,-181.610235,-181.621982,-181.584055
4.628594,-181.733498,-181.671322,-181.681138,-181.645142
4.638667,-181.792718,-181.741135,-181.740358,-181.706228
4.648825,-181.853078,-181.802222,-181.800718,-181.776042
4.659332,-181.916185,-181.872035,-181.863826,-181.837128
4.669145,-181.975707,-181.933121,-181.923347,-181.898215
4.679272,-182.03767,-182.002934,-181.98531,-181.968028
4.689488,-182.100913,-182.072748,-182.048553,-182.029114
4.703263,-182.187433,-182.142561,-182.135073,-182.090201
4.709796,-182.22853,-182.212374,-182.17617,-182.160014
4.728241,-182.347369,-182.334547,-182.295009,-182.282187
4.732873,-182.377136,-182.369454,-182.324777,-182.308367
4.742944,-182.442645,-182.43054,-182.390285,-182.37818
4.753106,-182.509381,-182.500353,-182.457021,-182.447993
4.763267,-182.576757,-182.570166,-182.524397,-182.517807
4.773393,-182.644475,-182.63998,-182.592115,-182.58762
4.792511,-182.77511,-182.709793,-182.72275,-182.718519
4.797393,-182.808364,-182.805786,-182.756004,-182.753426
4.80733,-182.876807,-182.875599,-182.824447,-182.823239
4.817473,-182.947342,-182.945412,-182.894982,-182.893052
4.827645,-183.018693,-183.023952,-182.966333,-182.954139
4.837792,-183.090501,-183.093765,-183.038141,-183.032679
4.847901,-183.16263,-183.163578,-183.11027,-183.093765
4.858093,-183.235962,-183.233392,-183.183602,-183.172305
4.868213,-183.309425,-183.311931,-183.257065,-183.242118
4.878568,-183.385267,-183.381745,-183.332907,-183.311931
4.890712,-183.475141,-183.451558,-183.422781,-183.390471
4.898716,-183.534608,-183.530097,-183.482249,-183.451558
4.909093,-183.612475,-183.608637,-183.560116,-183.521371
4.918997,-183.687329,-183.67845,-183.634969,-183.599911
4.929118,-183.764537,-183.748264,-183.712177,-183.67845
4.939364,-183.843255,-183.818077,-183.790895,-183.748264
4.94947,-183.921513,-183.896617,-183.869153,-183.826803
4.959839,-184.002524,-183.975156,-183.950164,-183.905343
4.96975,-184.080432,-184.04497,-184.028072,-183.975156
4.989345,-184.237527,-184.184596,-184.185168,-184.114783
4.994079,-184.27532,-184.236956,-184.22296,-184.167143
5.004159,-184.356699,-184.306769,-184.304339,-184.245682
5.014279,-184.439017,-184.394035,-184.386657,-184.324222
5.024423,-184.522147,-184.472575,-184.469787,-184.411489
5.034548,-184.605729,-184.551115,-184.553369,-184.498755
5.044764,-184.690699,-184.638382,-184.638339,-184.577295
5.054862,-184.775287,-184.725648,-184.722927,-184.664562
5.065028,-184.861092,-184.804188,-184.808732,-184.751828
5.075194,-184.947467,-184.900181,-184.895107,-184.839094
5.085297,-185.033976,-184.978721,-184.981616,-184.926361
5.095541,-185.122318,-185.074714,-185.069958,-185.013627
