Time,Reference,Angle,Reference,Angle
3.391779,-18.7370682,-18.7361095,-167.063875,-167.062916
3.401829,-18.7385981,-18.7361095,-167.065405,-167.062916
3.411932,-18.7407504,-18.7448362,-167.067557,-167.062916
3.422088,-18.7435354,-18.7448362,-167.070342,-167.062916
3.432319,-18.7469707,-18.7448362,-167.073777,-167.071643
3.442376,-18.7509485,-18.7448362,-167.077755,-167.071643
3.45286,-18.7557702,-18.7448362,-167.082577,-167.071643
3.462685,-18.7608494,-18.7448362,-167.087656,-167.071643
3.472867,-18.7667444,-18.7448362,-167.093551,-167.071643
3.482976,-18.7732059,-18.7448362,-167.100012,-167.071643
3.493149,-18.7803633,-18.7448362,-167.10717,-167.071643
3.503288,-18.7880559,-18.7448362,-167.114862,-167.071643
3.513469,-18.7964296,-18.7448362,-167.123236,-167.071643
3.523654,-18.8054301,-18.7448362,-167.132237,-167.071643
3.533791,-18.8150021,-18.7448362,-167.141809,-167.071643
3.545279,-18.826695,-18.7448362,-167.153502,-167.071643
3.554076,-18.8360302,-18.7448362,-167.162837,-167.071643
3.564276,-18.8475315,-18.7448362,-167.174338,-167.071643
3.574495,-18.8596814,-18.7448362,-167.186488,-167.071643
3.584592,-18.8722918,-18.7448362,-167.199098,-167.071643
3.59481,-18.8856861,-18.7448362,-167.212493,-167.071643
3.604899,-18.8995124,-18.7448362,-167.226319,-167.071643
3.615068,-18.9140801,-18.7448362,-167.240887,-167.071643
3.62527,-18.9293145,-18.7535628,-167.256121,-167.071643
3.635396,-18.9450499,-18.7535628,-167.271856,-167.071643
3.645663,-18.9616481,-18.7622895,-167.288455,-167.080369
3.655825,-18.978681,-18.7710161,-167.305487,-167.080369
3.665933,-18.9962454,-18.7797428,-167.323052,-167.089096
3.676147,-19.0146198,-18.7797428,-167.341426,-167.097823
3.686299,-19.0334934,-18.797196,-167.3603,-167.115276
3.696469,-19.0530293,-18.8059227,-167.379836,-167.124003
3.706598,-19.0730866,-18.8146493,-167.399893,-167.141456
3.716725,-19.0937632,-18.8321026,-167.42057,-167.158909
3.726919,-19.1152129,-18.8495559,-167.442019,-167.176362
3.737135,-19.1373205,-18.8670092,-167.464127,-167.193816
3.747224,-19.1597644,-18.8844625,-167.486571,-167.211269
3.757381,-19.1829852,-18.9019158,-167.509792,-167.228722
3.767533,-19.2068105,-18.9193691,-167.533617,-167.254902
3.77771,-19.2313167,-18.9542757,-167.558123,-167.281082
3.787866,-19.2563905,-18.9804556,-167.583197,-167.298535
3.798037,-19.2821304,-19.0066356,-167.608937,-167.324715
3.808199,-19.3084591,-19.0415421,-167.635266,-167.359622
3.818328,-19.3353142,-19.0764487,-167.662121,-167.394529
3.828447,-19.3627567,-19.1113553,-167.689563,-167.420708
3.838647,-19.3910484,-19.1549885,-167.717855,-167.455615
3.848812,-19.4198677,-19.1898951,-167.746674,-167.490522
3.858944,-19.4491997,-19.2335284,-167.776006,-167.534155
3.869122,-19.4792816,-19.2684349,-167.806088,-167.569061
3.879229,-19.5097796,-19.3120682,-167.836586,-167.603968
3.889472,-19.5413313,-19.3557014,-167.868138,-167.647601
3.899607,-19.5731286,-19.3993346,-167.899935,-167.691235
3.909751,-19.6055908,-19.4429679,-167.932397,-167.734868
3.919868,-19.6385867,-19.4866011,-167.965393,-167.778501
3.930096,-19.6728183,-19.5302343,-167.999625,-167.822134
3.940183,-19.7066787,-19.5738676,-168.033485,-167.865767
